metric_month,billingCountry,product,active_subscribers,mrr
2015-01-01,Canada,PRO,1,79.99
2015-01-01,France,PRO,1,83.99166666666666
2015-01-01,India,PRO,2,199.98
2015-01-01,United Kingdom,BUSINESS,2,671.9833333333333
2015-01-01,United Kingdom,PRO,2,183.98166666666665
2015-01-01,United States,BUSINESS,1,399.99
2015-01-01,United States,GURU,4,703.965
2015-01-01,United States,PRO,2,183.98166666666665
2015-02-01,Canada,GURU,1,167.99166666666667
2015-02-01,Canada,PRO,2,183.98166666666665
2015-02-01,France,GURU,2,399.98
2015-02-01,France,PRO,3,283.97166666666664
2015-02-01,India,BUSINESS,1,399.99
2015-02-01,India,GURU,2,359.98
2015-02-01,India,PRO,8,713.9216666666666
2015-02-01,United Kingdom,BUSINESS,5,1743.956666666667
2015-02-01,United Kingdom,GURU,6,1167.9416666666666
2015-02-01,United Kingdom,PRO,10,951.905
2015-02-01,United States,GURU,6,1103.9450000000002
2015-02-01,United States,PRO,7,617.9333333333333
2015-03-01,Canada,GURU,4,735.9633333333334
2015-03-01,Canada,PRO,3,267.9733333333333
2015-03-01,France,GURU,2,399.98
2015-03-01,France,PRO,4,363.96166666666664
2015-03-01,India,BUSINESS,2,799.98
2015-03-01,India,GURU,3,599.97
2015-03-01,India,PRO,4,367.9633333333333
2015-03-01,United Kingdom,BUSINESS,8,2799.9283333333333
2015-03-01,United Kingdom,GURU,8,1371.9366666666667
2015-03-01,United Kingdom,PRO,12,1021.8941666666667
2015-03-01,United States,BUSINESS,2,799.98
2015-03-01,United States,GURU,10,1663.9250000000002
2015-03-01,United States,PRO,21,1983.7999999999997
2015-04-01,Canada,GURU,12,2199.8883333333333
2015-04-01,Canada,PRO,4,367.9633333333333
2015-04-01,France,BUSINESS,1,399.99
2015-04-01,France,GURU,8,1431.9266666666667
2015-04-01,France,PRO,6,583.9416666666666
2015-04-01,India,BUSINESS,3,1135.9716666666668
2015-04-01,India,GURU,1,199.99
2015-04-01,India,PRO,12,1119.8883333333333
2015-04-01,United Kingdom,BUSINESS,10,3551.911666666667
2015-04-01,United Kingdom,GURU,15,2739.868333333333
2015-04-01,United Kingdom,PRO,28,2535.744999999999
2015-04-01,United States,BUSINESS,3,1135.9716666666668
2015-04-01,United States,GURU,15,2667.87
2015-04-01,United States,PRO,24,2235.7749999999996
2015-05-01,Canada,GURU,13,2367.88
2015-05-01,Canada,PRO,7,635.9366666666666
2015-05-01,France,BUSINESS,1,399.99
2015-05-01,France,GURU,8,1439.9283333333333
2015-05-01,France,PRO,5,463.95166666666665
2015-05-01,India,BUSINESS,3,1135.9716666666668
2015-05-01,India,GURU,7,1359.93
2015-05-01,India,PRO,24,2187.771666666666
2015-05-01,United Kingdom,BUSINESS,14,4887.883333333333
2015-05-01,United Kingdom,GURU,16,2907.8599999999997
2015-05-01,United Kingdom,PRO,41,3514.8324999999977
2015-05-01,United States,BUSINESS,5,1807.9550000000002
2015-05-01,United States,GURU,27,4942.151666666665
2015-05-01,United States,PRO,31,2871.711666666665
2015-06-01,Canada,BUSINESS,1,399.99
2015-06-01,Canada,GURU,10,1807.91
2015-06-01,Canada,PRO,19,1733.82
2015-06-01,France,BUSINESS,1,335.9916666666667
2015-06-01,France,GURU,11,1975.9016666666669
2015-06-01,France,PRO,8,709.9291666666667
2015-06-01,India,BUSINESS,4,1535.9616666666668
2015-06-01,India,GURU,14,2563.875
2015-06-01,India,PRO,27,2465.744999999999
2015-06-01,United Kingdom,BUSINESS,11,3887.9033333333336
2015-06-01,United Kingdom,GURU,21,4007.7999999999984
2015-06-01,United Kingdom,PRO,51,4522.744166666663
2015-06-01,United States,BUSINESS,9,2879.9383333333335
2015-06-01,United States,GURU,25,4414.178333333332
2015-06-01,United States,PRO,39,3586.8383333333304
2015-07-01,Canada,GURU,13,2275.8916666666664
2015-07-01,Canada,PRO,25,2245.765
2015-07-01,France,BUSINESS,4,1471.9633333333334
2015-07-01,France,GURU,10,1775.9116666666666
2015-07-01,France,PRO,13,1193.8808333333334
2015-07-01,India,BUSINESS,4,1535.9616666666668
2015-07-01,India,GURU,11,2063.8950000000004
2015-07-01,India,PRO,36,3202.866666666665
2015-07-01,United Kingdom,BUSINESS,17,6079.846666666666
2015-07-01,United Kingdom,GURU,18,3194.2408333333324
2015-07-01,United Kingdom,PRO,59,5216.674999999993
2015-07-01,United States,BUSINESS,9,3079.9283333333333
2015-07-01,United States,GURU,30,5258.938333333333
2015-07-01,United States,PRO,56,5058.682499999995
2015-08-01,Canada,BUSINESS,2,799.98
2015-08-01,Canada,GURU,14,2443.883333333333
2015-08-01,Canada,PRO,28,2525.7349999999988
2015-08-01,France,BUSINESS,2,671.9833333333333
2015-08-01,France,GURU,14,2479.876666666666
2015-08-01,France,PRO,19,1693.8208333333334
2015-08-01,India,BUSINESS,5,1935.9516666666668
2015-08-01,India,GURU,22,3852.6108333333323
2015-08-01,India,PRO,45,4008.783333333329
2015-08-01,United Kingdom,BUSINESS,20,7167.821666666667
2015-08-01,United Kingdom,GURU,27,4822.162499999998
2015-08-01,United Kingdom,PRO,69,6022.589999999994
2015-08-01,United States,BUSINESS,13,4679.888333333332
2015-08-01,United States,GURU,35,6194.8916666666655
2015-08-01,United States,PRO,69,6166.564166666659
2015-09-01,Canada,GURU,24,4371.784999999998
2015-09-01,Canada,PRO,25,2217.7699999999995
2015-09-01,France,BUSINESS,3,1071.9733333333334
2015-09-01,France,GURU,23,4131.794166666666
2015-09-01,France,PRO,15,1267.8716666666667
2015-09-01,India,BUSINESS,8,2871.9333333333334
2015-09-01,India,GURU,28,5056.545833333331
2015-09-01,India,PRO,50,4512.743333333328
2015-09-01,United Kingdom,BUSINESS,24,8639.784999999998
2015-09-01,United Kingdom,GURU,32,5758.115833333331
2015-09-01,United Kingdom,PRO,92,8224.374166666657
2015-09-01,United States,BUSINESS,14,4799.888333333332
2015-09-01,United States,GURU,40,7057.246666666665
2015-09-01,United States,PRO,76,6637.707499999991
2015-10-01,Canada,BUSINESS,3,1135.9716666666668
2015-10-01,Canada,GURU,28,5107.748333333331
2015-10-01,Canada,PRO,36,3205.671666666665
2015-10-01,France,BUSINESS,4,1471.9633333333334
2015-10-01,France,GURU,19,3299.8358333333326
2015-10-01,France,PRO,23,2071.793333333333
2015-10-01,India,BUSINESS,7,2471.9433333333336
2015-10-01,India,GURU,39,7036.454166666664
2015-10-01,India,PRO,58,5175.873333333327
2015-10-01,United Kingdom,BUSINESS,19,6639.835
2015-10-01,United Kingdom,GURU,55,9829.920833333328
2015-10-01,United Kingdom,PRO,104,9172.274999999992
2015-10-01,United States,BUSINESS,16,5567.864166666665
2015-10-01,United States,GURU,50,8961.151666666665
2015-10-01,United States,PRO,103,9091.456666666656
2015-11-01,Canada,BUSINESS,5,1871.9533333333334
2015-11-01,Canada,GURU,24,4347.788333333332
2015-11-01,Canada,PRO,37,3359.6633333333302
2015-11-01,France,BUSINESS,6,2271.9433333333336
2015-11-01,France,GURU,25,4499.775833333331
2015-11-01,France,PRO,30,2637.7299999999987
2015-11-01,India,BUSINESS,7,2591.9333333333334
2015-11-01,India,GURU,42,7604.425833333329
2015-11-01,India,PRO,83,7536.844999999991
2015-11-01,United Kingdom,BUSINESS,21,7439.815
2015-11-01,United Kingdom,GURU,61,10825.874166666661
2015-11-01,United Kingdom,PRO,127,11149.265833333322
2015-11-01,United States,BUSINESS,20,6927.8324999999995
2015-11-01,United States,GURU,62,10991.446666666665
2015-11-01,United States,PRO,112,9833.37999999999
2015-12-01,Canada,BUSINESS,5,1871.9533333333334
2015-12-01,Canada,GURU,25,4415.789999999999
2015-12-01,Canada,PRO,44,3891.5983333333293
2015-12-01,France,BUSINESS,5,1871.9533333333334
2015-12-01,France,GURU,21,3667.817499999999
2015-12-01,France,PRO,33,2933.7074999999986
2015-12-01,India,BUSINESS,7,2476.7383333333337
2015-12-01,India,GURU,40,7208.44083333333
2015-12-01,India,PRO,81,7142.87166666666
2015-12-01,United Kingdom,BUSINESS,23,8095.796666666666
2015-12-01,United Kingdom,GURU,67,11660.235833333329
2015-12-01,United Kingdom,PRO,147,12775.098333333322
2015-12-01,United States,BUSINESS,23,7788.609166666666
2015-12-01,United States,GURU,71,12175.41
2015-12-01,United States,PRO,118,10391.339999999993
2016-01-01,Canada,BUSINESS,6,2143.9466666666667
2016-01-01,Canada,GURU,30,5387.736666666665
2016-01-01,Canada,PRO,51,4469.540833333328
2016-01-01,France,BUSINESS,6,2207.9449999999997
2016-01-01,France,GURU,31,5342.129999999998
2016-01-01,France,PRO,37,3245.672499999998
2016-01-01,India,BUSINESS,13,4812.679999999999
2016-01-01,India,GURU,45,7916.4108333333315
